trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye
20150105,SSE,700007355731.0,102462217665.0,92759721643.0,6127222126.0,1448182019.0,706134577857.0
20150106,SSE,707391292198.0,98370829909.0,90986893442.0,5990342373.0,1251407226.0,713381634571.0
20150107,SSE,715729306750.0,81243060299.0,72905045747.0,6161617855.0,1159975687.0,721890924605.0
20150108,SSE,718485280095.0,72365046460.0,69609073115.0,5627589892.0,982279484.0,724112869987.0
20150109,SSE,726400724109.0,87327038290.0,79411594276.0,5383417787.0,1538413338.0,731784141896.0
20150112,SSE,735878164519.0,68855556662.0,59378116252.0,5080926118.0,1075613449.0,740959090637.0
20150113,SSE,740893116001.0,52882711315.0,47867759833.0,4970840174.0,1100244336.0,745863956175.0
20150114,SSE,749750725573.0,55908600370.0,47050990798.0,4832460055.0,1031836955.0,754583185628.0
20150115,SSE,762382827637.0,71147906275.0,58515804211.0,5061962503.0,1305319686.0,767444790140.0
20150116,SSE,766660200847.0,83138464387.0,78861091177.0,5019945559.0,1212010371.0,771680146406.0
20150119,SSE,752047988453.0,72756876383.0,87369088777.0,4006316935.0,1100466344.0,756054305388.0
20150120,SSE,750762421151.0,76513181618.0,77798748920.0,4089037320.0,1507143437.0,754851458471.0
20150121,SSE,754595954233.0,91163378655.0,87329845573.0,4822496958.0,1722377359.0,759418451191.0
20150122,SSE,761668956446.0,75064691111.0,67991688898.0,4785141949.0,973298500.0,766454098395.0
20150123,SSE,766038511313.0,82258662501.0,77889107634.0,4700104444.0,1307260513.0,770738615757.0
20150126,SSE,771373532853.0,67111894515.0,61776872975.0,4885928763.0,1159453953.0,776259461616.0
20150127,SSE,773837742011.0,75031235777.0,72567026619.0,4699665607.0,1220933535.0,778537407618.0
20150128,SSE,775933490835.0,63920072891.0,61824324067.0,4542722686.0,1190286348.0,780476213521.0
20150129,SSE,777561647997.0,55046202356.0,53418045194.0,4327857932.0,998013384.0,781889505929.0
20150130,SSE,773977698926.0,50312558223.0,53896507294.0,4040912993.0,914321293.0,778018611919.0
20150202,SSE,774866786825.0,47632245458.0,46743157559.0,3768751438.0,998229174.0,778635538263.0
20150203,SSE,773741930732.0,52159764433.0,53284620526.0,4125153312.0,1068524030.0,777867084044.0
20150204,SSE,774770652233.0,55998184225.0,54969462724.0,4075255266.0,1199049654.0,778845907499.0
20150205,SSE,777970437249.0,70696075163.0,67496290147.0,3951049404.0,1324122648.0,781921486653.0
20150206,SSE,779641865766.0,51350016719.0,49678588202.0,3355007223.0,1289932980.0,782996872989.0
20150209,SSE,786747284226.0,51281340753.0,44175922293.0,3292347071.0,1497271319.0,790039631297.0
20150210,SSE,797891845821.0,49940656430.0,38796094835.0,3321741382.0,1402007917.0,801213587203.0
20150211,SSE,805111175134.0,49814292794.0,42594963481.0,3376239249.0,1102904755.0,808487414383.0
20150212,SSE,804093283315.0,49061175820.0,50079067639.0,3307983650.0,982933954.0,807401266965.0
20150213,SSE,779162373527.0,52535663244.0,77466573032.0,3311066082.0,962369402.0,782473439609.0
20150216,SSE,772980408663.0,53928574063.0,60110538927.0,3238037227.0,860489122.0,776218445890.0
20150217,SSE,753461212526.0,49701309648.0,69220505785.0,3034256889.0,674412666.0,756495469415.0
20150225,SSE,770968145360.0,60092819984.0,42585887150.0,3277751249.0,819377339.0,774245896609.0
20150226,SSE,778901920692.0,70218750802.0,62284975470.0,3727497308.0,1245468190.0,782629418000.0
20150227,SSE,780843947820.0,67295472698.0,65353445570.0,3643957926.0,906278384.0,784487905746.0
20150302,SSE,792791389697.0,79111411070.0,67163969193.0,3820324241.0,1086852330.0,796611713938.0
20150303,SSE,804100125942.0,87283032063.0,75974295818.0,3658347664.0,1188200050.0,807758473606.0
20150304,SSE,811253368861.0,66225246334.0,59072003415.0,3800138283.0,1108455680.0,815053507144.0
20150305,SSE,819402239652.0,70255155893.0,62106285102.0,3596427868.0,1277060227.0,822998667520.0
20150306,SSE,824379989028.0,61530416037.0,56552666661.0,3441280015.0,1400398864.0,827821269043.0
20150309,SSE,834878753182.0,70291104924.0,59792340770.0,3353984453.0,1878488806.0,838232737635.0
