searchDate,Unnamed: 0,exchangeRate,istVol,marketValue,marketValue1,negotiableValue,negotiableValue1,productType,profitRate,profitRate1,searchDate,searchDate.1,searchDate.1.1,trdAmt,trdAmt1,trdTm,trdTm1,trdVol,trdVol1
2019-03-01,0.0,1.0335,1456,325376.71,325376.71422520396,278398.3,278398.3007518883,1,15.08,15.075,2019-03-01,2019-03-01,2019-03-01,3081.54,3081.54091344,1624.19,1624.1865,3462554.72,3462554.7239
2019-02-28,0.0,1.0446,1455,319309.09,319309.0890575617,273254.02,273254.01651641174,1,14.81,14.806,2019-02-28,2019-02-28,2019-02-28,2986.69,2986.68629534,1633.22,1633.2233,3497818.39,3497818.3902
2019-02-27,0.0,1.4184,1455,320601.18,320601.18324868736,274325.63,274325.6325615848,1,14.87,14.867,2019-02-27,2019-02-27,2019-02-27,4124.64,4124.64384736,2089.71,2089.7105,4749345.6,4749345.601
2019-02-26,0.0,1.686,1455,319247.41,319247.4076470461,273497.92,273497.9211402237,1,14.81,14.805,2019-02-26,2019-02-26,2019-02-26,4921.56,4921.55758325,2449.27,2449.2678,5645164.07,5645164.0668
2019-02-25,0.0,1.5793,1455,321381.43,321381.4253863423,275762.29,275762.2882481539,1,14.91,14.905999999999999,2019-02-25,2019-02-25,2019-02-25,4676.83,4676.83137255,2150.8,2150.7960000000007,5287291.13,5287291.1298
2019-02-22,0.0,0.8991,1455,304324.06,304324.0600481607,261218.62,261218.6203339977,1,14.11,14.113,2019-02-22,2019-02-22,2019-02-22,2645.15,2645.15389443,1448.23,1448.2294,3010201.95,3010201.9525
2019-02-21,0.0,0.8941,1454,298586.54,298586.5447812348,256639.81,256639.8097330059,1,13.85,13.847000000000001,2019-02-21,2019-02-21,2019-02-21,2547.94,2547.94068245,1485.09,1485.086,2993209.39,2993209.3896
2019-02-20,0.0,0.736,1454,299606.08,299606.0837757725,257479.11,257479.11267082838,1,13.89,13.894,2019-02-20,2019-02-20,2019-02-20,2059.89,2059.88671302,1261.26,1261.2617,2463975.01,2463975.0083
2019-02-19,0.0,0.8594,1454,298996.34,298996.33528966643,256748.3,256748.2972364098,1,13.87,13.866,2019-02-19,2019-02-19,2019-02-19,2470.78,2470.77877918,1426.34,1426.3391,2876986.16,2876986.1646
2019-02-18,0.0,0.7798,1454,298849.44,298849.439066849,256817.54,256817.53604702148,1,13.86,13.860999999999999,2019-02-18,2019-02-18,2019-02-18,2257.13,2257.13308787,1298.55,1298.5538,2610434.21,2610434.2053
2019-02-15,0.0,0.5862,1454,290405.71,290405.7116428226,250143.32,250143.3235713616,1,13.47,13.468,2019-02-15,2019-02-15,2019-02-15,1702.97,1702.97376385,1100.01,1100.0093,1962170.69,1962170.6914
2019-02-14,0.0,0.5877,1453,294393.21,294393.2107649673,253735.1,253735.1044155634,1,13.66,13.658,2019-02-14,2019-02-14,2019-02-14,1701.66,1701.66265779,1090.39,1090.3879,1966757.2,1966757.2025
2019-02-13,0.0,0.7276,1453,294551.16,294551.1565321699,253920.83,253920.82915394945,1,13.67,13.665,2019-02-13,2019-02-13,2019-02-13,2070.28,2070.27589482,1248.48,1248.4761,2434498.64,2434498.6373
2019-02-12,0.0,0.669,1453,289708.72,289708.7228732838,250144.38,250144.3764352857,1,13.44,13.44,2019-02-12,2019-02-12,2019-02-12,1814.5,1814.49981372,1044.5,1044.4973,2239376.25,2239376.2505
2019-02-11,0.0,0.4813,1453,287761.12,287761.1201737048,248341.94,248341.9443862679,1,13.35,13.350999999999999,2019-02-11,2019-02-11,2019-02-11,1410.93,1410.92800828,922.14,922.1446,1610560.08,1610560.0841
2019-02-01,0.0,0.3939,1453,283878.54,283878.543567032,245102.81,245102.812351915,1,13.17,13.172,2019-02-01,2019-02-01,2019-02-01,1114.25,1114.24636469,803.94,803.939,1317723.78,1317723.785
2019-01-31,0.0,0.4618,1453,280207.05,280207.0460052711,242283.93,242283.92533595712,1,13.0,13.002,2019-01-31,2019-01-31,2019-01-31,1261.83,1261.82972884,917.9,917.9027,1544898.82,1544898.8152
2019-01-30,0.0,0.36,1453,279248.22,279248.2194589679,240904.02,240904.0238006879,1,12.95,12.954,2019-01-30,2019-01-30,2019-01-30,1010.53,1010.53282693,804.19,804.1895,1203584.75,1203584.7496
2019-01-29,0.0,0.4652,1452,281153.67,281153.66777748,242625.77,242625.7661371806,1,13.04,13.043,2019-01-29,2019-01-29,2019-01-29,1267.59,1267.58653164,958.1,958.0955,1555304.56,1555304.5623
2019-01-28,0.0,0.4392,1452,281453.71,281453.7125888089,242643.91,242643.90741339032,1,13.05,13.054,2019-01-28,2019-01-28,2019-01-28,1274.01,1274.01316208,914.03,914.03,1468502.68,1468502.6826
2019-01-25,0.0,0.4766,1452,282012.78,282012.7849437459,242995.9,242995.9019088407,1,13.08,13.079,2019-01-25,2019-01-25,2019-01-25,1354.19,1354.19327369,932.07,932.0657,1593401.86,1593401.8595
2019-01-24,0.0,0.4604,1452,280957.24,280957.2376225002,241810.44,241810.43516229122,1,13.03,13.027999999999999,2019-01-24,2019-01-24,2019-01-24,1315.37,1315.36837814,957.33,957.3278,1539186.66,1539186.6553
2019-01-23,0.0,0.3938,1452,279744.38,279744.3751710341,240843.72,240843.7157275581,1,12.97,12.970999999999998,2019-01-23,2019-01-23,2019-01-23,1053.24,1053.24252913,794.24,794.2394,1316567.48,1316567.483
2019-01-22,0.0,0.4564,1451,279452.86,279452.86390664784,240713.09,240713.09039713358,1,12.96,12.96,2019-01-22,2019-01-22,2019-01-22,1230.22,1230.21874858,897.75,897.7501,1525959.84,1525959.8384
2019-01-21,0.0,0.4888,1450,282712.27,282712.27409036487,243552.69,243552.6927866799,1,13.11,13.113,2019-01-21,2019-01-21,2019-01-21,1400.08,1400.08351396,947.46,947.4644,1633959.07,1633959.0691
2019-01-18,0.0,0.5710000000000001,1449,280738.47,280738.47017824533,242084.15,242084.148527663,1,13.04,13.037,2019-01-18,2019-01-18,2019-01-18,1513.7,1513.69988175,996.19,996.1919,1908230.04,1908230.0447
2019-01-17,0.0,0.4859,1448,276529.36,276529.3614937542,238464.28,238464.2756379178,1,12.85,12.85,2019-01-17,2019-01-17,2019-01-17,1275.39,1275.39143382,930.95,930.9549,1623181.08,1623181.0794
2019-01-16,0.0,0.447,1447,277659.61,277659.6093886875,239319.3,239319.2993630901,1,12.9,12.902999999999999,2019-01-16,2019-01-16,2019-01-16,1271.01,1271.0105544000005,898.75,898.7475,1492972.0,1492971.9967
2019-01-15,0.0,0.4821,1446,277615.97,277615.9726350346,239196.52,239196.52198641468,1,12.9,12.901,2019-01-15,2019-01-15,2019-01-15,1377.47,1377.4698121,965.76,965.7642,1610200.45,1610200.4541
2019-01-14,0.0,0.4334,1446,273894.9,273894.8984127196,235945.03,235945.0295285357,1,12.73,12.728,2019-01-14,2019-01-14,2019-01-14,1162.22,1162.21548467,878.89,878.8927,1447465.39,1447465.3931
2019-01-11,0.0,0.4473,1446,275690.47,275690.4669811655,237515.08,237515.07785787468,1,12.81,12.812000000000001,2019-01-11,2019-01-11,2019-01-11,1224.07,1224.06772493,884.12,884.1221,1493321.3,1493321.2965
2019-01-10,0.0,0.4783,1445,273624.58,273624.5751756856,235784.39,235784.3886765411,1,12.72,12.716,2019-01-10,2019-01-10,2019-01-10,1326.58,1326.58345974,969.06,969.0634,1596793.5,1596793.5013
2019-01-09,0.0,0.5743,1445,274604.85,274604.8510715236,236568.41,236568.4095431866,1,12.76,12.762,2019-01-09,2019-01-09,2019-01-09,1608.97,1608.97092937,1086.18,1086.1829,1917086.23,1917086.2254
