searchDate,Unnamed: 0,exchangeRate,profitRate,searchDate,searchDate.1,trdAmt
2019-03-01,0.0,2.52,24.87,2019-03-01,2019-03-01,3580.57
2019-02-28,0.0,2.65,24.56,2019-02-28,2019-02-28,3643.0
2019-02-27,0.0,3.46,24.47,2019-02-27,2019-02-27,4799.21
2019-02-26,0.0,4.34,24.63,2019-02-26,2019-02-26,6063.0
2019-02-25,0.0,4.05,24.74,2019-02-25,2019-02-25,5753.68
2019-02-22,0.0,2.62,23.47,2019-02-22,2019-02-22,3582.73
2019-02-21,0.0,2.72,22.94,2019-02-21,2019-02-21,3668.1
2019-02-20,0.0,2.31,23.0,2019-02-20,2019-02-20,2941.8
2019-02-19,0.0,2.75,22.93,2019-02-19,2019-02-19,3592.43
2019-02-18,0.0,2.5,22.89,2019-02-18,2019-02-18,3243.1
2019-02-15,0.0,1.94,22.08,2019-02-15,2019-02-15,2500.01
2019-02-14,0.0,1.96,22.24,2019-02-14,2019-02-14,2479.64
2019-02-13,0.0,2.01,22.09,2019-02-13,2019-02-13,2674.93
2019-02-12,0.0,1.64,21.69,2019-02-12,2019-02-12,2092.49
2019-02-11,0.0,1.34,21.43,2019-02-11,2019-02-11,1833.29
2019-02-01,0.0,1.15,20.82,2019-02-01,2019-02-01,1507.62
2019-01-31,0.0,1.31,20.25,2019-01-31,2019-01-31,1606.27
2019-01-30,0.0,1.04,20.32,2019-01-30,2019-01-30,1373.77
2019-01-29,0.0,1.33,20.6,2019-01-29,2019-01-29,1681.13
2019-01-28,0.0,1.29,20.82,2019-01-28,2019-01-28,1729.07
2019-01-25,0.0,1.35,20.89,2019-01-25,2019-01-25,1784.81
2019-01-24,0.0,1.29,20.91,2019-01-24,2019-01-24,1699.62
2019-01-23,0.0,1.07,20.81,2019-01-23,2019-01-23,1395.36
2019-01-22,0.0,1.2,20.78,2019-01-22,2019-01-22,1559.49
2019-01-21,0.0,1.31,21.01,2019-01-21,2019-01-21,1736.95
2019-01-18,0.0,1.41,20.88,2019-01-18,2019-01-18,1764.29
2019-01-17,0.0,1.34,20.67,2019-01-17,2019-01-17,1679.67
2019-01-16,0.0,1.38,20.86,2019-01-16,2019-01-16,1784.79
2019-01-15,0.0,1.43,20.89,2019-01-15,2019-01-15,1833.43
2019-01-14,0.0,1.38,20.58,2019-01-14,2019-01-14,1678.7
2019-01-11,0.0,1.38,20.73,2019-01-11,2019-01-11,1742.53
2019-01-10,0.0,1.45,20.57,2019-01-10,2019-01-10,1813.21
2019-01-09,0.0,1.71,20.63,2019-01-09,2019-01-09,2196.71
2019-01-08,0.0,1.47,20.52,2019-01-08,2019-01-08,1778.28
2019-01-07,0.0,1.59,20.54,2019-01-07,2019-01-07,2023.78
2019-01-04,0.0,1.48,20.2,2019-01-04,2019-01-04,1835.48
2019-01-03,0.0,1.11,19.66,2019-01-03,2019-01-03,1455.88
2019-01-02,0.0,0.94,19.81,2019-01-02,2019-01-02,1290.8
2018-12-28,0.0,1.02,20.0,2018-12-28,2018-12-28,1347.91
2018-12-27,0.0,1.17,19.93,2018-12-27,2018-12-27,1529.17
2018-12-26,0.0,1.06,20.17,2018-12-26,2018-12-26,1394.29
2018-12-25,0.0,1.28,20.23,2018-12-25,2018-12-25,1619.44
2018-12-24,0.0,0.94,20.4,2018-12-24,2018-12-24,1287.29
2018-12-21,0.0,1.05,20.22,2018-12-21,2018-12-21,1360.17
2018-12-20,0.0,1.0,20.41,2018-12-20,2018-12-20,1298.57
2018-12-19,0.0,0.96,20.38,2018-12-19,2018-12-19,1244.63
2018-12-18,0.0,1.02,20.67,2018-12-18,2018-12-18,1317.6
2018-12-17,0.0,1.04,20.84,2018-12-17,2018-12-17,1364.97
2018-12-14,0.0,1.3,20.91,2018-12-14,2018-12-14,1688.04
2018-12-13,0.0,1.29,21.44,2018-12-13,2018-12-13,1737.94
2018-12-12,0.0,1.06,21.2,2018-12-12,2018-12-12,1343.42
2018-12-11,0.0,1.04,21.16,2018-12-11,2018-12-11,1332.85
2018-12-10,0.0,1.1,20.98,2018-12-10,2018-12-10,1424.26
2018-12-07,0.0,1.09,21.26,2018-12-07,2018-12-07,1436.53
2018-12-06,0.0,1.37,21.27,2018-12-06,2018-12-06,1831.06
2018-12-05,0.0,1.48,21.74,2018-12-05,2018-12-05,1892.09
2018-12-04,0.0,1.49,21.84,2018-12-04,2018-12-04,1873.78
2018-12-03,0.0,1.76,21.75,2018-12-03,2018-12-03,2383.85
2018-11-30,0.0,1.24,21.05,2018-11-30,2018-11-30,1556.45
2018-11-29,0.0,1.46,20.85,2018-11-29,2018-11-29,1818.97
2018-11-28,0.0,1.44,21.32,2018-11-28,2018-11-28,1733.95
2018-11-27,0.0,1.21,21.02,2018-11-27,2018-11-27,1498.69
2018-11-26,0.0,1.21,20.93,2018-11-26,2018-11-26,1473.78
2018-11-23,0.0,1.73,21.0,2018-11-23,2018-11-23,2090.18
2018-11-22,0.0,1.48,21.79,2018-11-22,2018-11-22,1807.25
2018-11-21,0.0,1.59,21.8,2018-11-21,2018-11-21,1982.77
2018-11-20,0.0,1.88,21.69,2018-11-20,2018-11-20,2417.47
2018-11-19,0.0,1.95,22.3,2018-11-19,2018-11-19,2442.3
2018-11-16,0.0,2.1,22.18,2018-11-16,2018-11-16,2712.81
2018-11-15,0.0,1.88,22.0,2018-11-15,2018-11-15,2325.09
2018-11-14,0.0,2.11,21.68,2018-11-14,2018-11-14,2345.0
2018-11-13,0.0,2.37,21.76,2018-11-13,2018-11-13,2665.82
2018-11-12,0.0,1.67,21.42,2018-11-12,2018-11-12,1972.87
