trade_date,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
2019-03-08,600690.SH,20190308,15.72,1.3044,2.2131,1.45,14.4549,13.5833,2.6689,0.6286,0.5618,636841.67,609740.2727,359385.4579,10011151.0524,9585117.0868
2019-03-07,600690.SH,20190307,16.7,1.0962,1.8598,1.36,15.356,14.43,2.8353,0.6678,0.5968,636841.67,609740.2727,359385.4579,10635255.889,10182662.5541
2019-03-06,600690.SH,20190306,17.26,0.8504,1.4427,1.12,15.8709,14.9139,2.9304,0.6902,0.6168,636841.67,609740.2727,359385.4579,10991887.2242,10524117.1068
2019-03-05,600690.SH,20190305,17.53,0.6298,1.0685,0.76,16.1192,15.1472,2.9762,0.701,0.6265,636841.67,609740.2727,359385.4579,11163834.4751,10688746.9804
2019-03-04,600690.SH,20190304,17.43,0.9696,1.6451,1.11,16.0273,15.0608,2.9592,0.697,0.6229,636841.67,609740.2727,359385.4579,11100150.3081,10627772.9532
2019-03-01,600690.SH,20190301,17.17,0.9524,1.6158,1.23,15.7882,14.8362,2.9151,0.6866,0.6136,636841.67,609740.2727,359385.4579,10934571.4739,10469240.4823
2019-02-28,600690.SH,20190228,16.48,0.6352,1.0778,0.83,15.1537,14.2399,2.7979,0.659,0.5889,636841.67,609740.2727,359385.4579,10495150.7216,10048519.6941
2019-02-27,600690.SH,20190227,16.66,0.6033,1.0236,0.83,15.3192,14.3955,2.8285,0.6662,0.5954,636841.67,609740.2727,359385.4579,10609782.2222,10158272.9432
2019-02-26,600690.SH,20190226,16.45,0.9765,1.6568,1.5,15.1261,14.214,2.7928,0.6578,0.5879,636841.67,609740.2727,359385.4579,10476045.4715,10030227.4859
2019-02-25,600690.SH,20190225,16.7,1.2018,2.039,2.18,15.356,14.43,2.8353,0.6678,0.5968,636841.67,609740.2727,359385.4579,10635255.889,10182662.5541
2019-02-22,600690.SH,20190222,15.96,0.4686,0.795,0.72,14.6756,13.7906,2.7097,0.6382,0.5704,636841.67,609740.2727,359385.4579,10163993.0532,9731454.7523
2019-02-21,600690.SH,20190221,15.98,0.567,0.962,0.86,14.694,13.8079,2.7131,0.639,0.5711,636841.67,609740.2727,359385.4579,10176729.8866,9743649.5577
2019-02-20,600690.SH,20190220,16.0,0.4263,0.7233,0.61,14.7123,13.8252,2.7164,0.6398,0.5718,636841.67,609740.2727,359385.4579,10189466.72,9755844.3632
2019-02-19,600690.SH,20190219,16.06,0.5862,0.9946,0.86,14.7675,13.877,2.7266,0.6422,0.5739,636841.67,609740.2727,359385.4579,10227677.2202,9792428.7796
2019-02-18,600690.SH,20190218,16.14,0.7069,1.1993,1.07,14.8411,13.9462,2.7402,0.6454,0.5768,636841.67,609740.2727,359385.4579,10278624.5538,9841208.0014
2019-02-15,600690.SH,20190215,15.78,0.9654,1.638,1.75,14.5101,13.6351,2.6791,0.631,0.5639,636841.67,609740.2727,359385.4579,10049361.5526,9621701.5032
2019-02-14,600690.SH,20190214,16.51,0.6023,1.0219,1.11,15.1813,14.2659,2.803,0.6602,0.59,636841.67,609740.2727,359385.4579,10514255.9717,10066811.9023
2019-02-13,600690.SH,20190213,16.15,0.625,1.0604,1.28,14.8503,13.9548,2.7419,0.6458,0.5771,636841.67,609740.2727,359385.4579,10284992.9705,9847305.4041
2019-02-12,600690.SH,20190212,16.17,0.5098,0.8649,1.05,14.8687,13.9721,2.7453,0.6466,0.5779,636841.67,609740.2727,359385.4579,10297729.8039,9859500.2096
2019-02-11,600690.SH,20190211,16.36,0.6151,1.0437,1.34,15.0434,14.1363,2.7776,0.6542,0.5847,636841.67,609740.2727,359385.4579,10418729.7212,9975350.8614
